TIME,2015,2016,2017,2018,2019,2020,2021,2022,2023
Union européenne - 27 pays (à partir de 2020),80.9,84.5,88.4,93.3,97.7,87.6,100.0,117.4,123.5
Zone euro - 20 pays (à partir de 2023),81.8,85.3,89.0,93.7,98.0,87.3,100.0,116.5,122.9
Zone euro - 19 pays (2015-2022),81.3,84.8,88.5,93.6,98.0,87.4,100.0,116.5,122.8
Tchéquie,88.0,89.0,94.3,99.4,103.0,91.4,99.8,116.0,121.9
Danemark,74.8,73.8,79.4,83.2,86.9,81.6,100.2,128.4,116.7
Allemagne,87.2,91.8,94.2,97.6,99.9,89.0,100.0,114.6,117.7
Grèce,104.4,103.0,106.2,110.9,114.8,81.0,100.0,127.8,140.9
Espagne,81.0,84.5,89.8,95.1,99.8,77.5,100.0,116.0,124.0
France,81.7,84.1,88.6,93.6,98.6,89.2,100.0,116.7,121.8
Croatie,170.6,180.9,179.4,100.8,105.6,82.0,99.7,124.0,138.0
Chypre,82.2,87.1,92.1,96.5,106.4,86.9,:,:
Lettonie,82.3,83.3,91.8,102.2,106.0,90.9,100.0,130.7,137.4
Lituanie,50.4,54.7,64.0,73.2,82.2,78.8,100.0,124.0,135.0
Luxembourg,54.3,59.5,65.8,72.0,77.2,85.0,99.9,110.6,118.3
Malte,75.4,83.4,94.7,102.8,104.9,82.8,100.0,122.0,134.1
Roumanie,55.9,60.6,68.6,75.7,84.2,84.1,100.4,130.4,149.8
Slovénie,73.8,77.6,84.3,91.4,96.3,85.7,99.5,118.6,128.6
Slovaquie,78.0,81.7,87.1,95.5,103.2,93.7,100.0,113.7,113.3
Finlande,84.5,87.1,92.7,97.1,101.3,92.3,99.9,115.3,119.4
Monténégro,77.3,78.3,95.2,97.1,107.1,70.5,100.0,135.0,163.9
Turquie,30.8,33.0,41.5,52.7,62.7,62.7,100.0,231.9,409.9
