TIME,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Union européenne - 27 pays (à partir de 2020),9.9,9.2,8.3,7.4,6.6,6.1,6.6,6.5,5.7,5.6
Zone euro - 20 pays (à partir de 2023),10.4,9.8,9.1,8.2,7.5,7.0,7.5,7.3,6.4,6.2
Belgique,9.5,9.5,8.7,7.7,6.5,5.8,6.4,7.0,6.3,6.3
Bulgarie,11.4,9.1,7.5,6.1,5.3,4.1,5.5,4.9,3.9,4.1
Tchéquie,6.0,4.7,3.5,2.7,2.1,1.8,2.4,2.7,2.0,2.3
Danemark,6.1,5.4,5.1,4.7,4.1,4.1,4.8,4.5,3.8,4.6
Allemagne,4.6,4.2,3.6,3.2,2.8,2.7,3.3,3.2,2.7,2.6
Estonie,8.0,6.9,7.8,6.6,5.7,4.8,7.4,6.9,5.9,7.5
Irlande,14.7,12.4,10.1,8.5,7.0,6.0,7.2,7.9,5.2,5.0
Grèce,31.0,28.3,27.2,24.9,22.8,20.8,20.5,17.0,14.5,12.9
Espagne,24.2,21.6,19.2,17.0,15.5,14.5,16.5,16.1,14.2,13.3
France,10.6,10.8,10.6,10.1,9.7,9.2,8.9,8.5,8.2,8.1
Croatie,18.7,18.1,14.6,11.7,9.1,6.9,8.2,8.5,7.2,6.8
Italie,12.2,11.6,11.2,10.6,10.2,9.5,9.0,9.2,7.8,7.4
Chypre,18.2,16.6,14.3,11.4,8.8,8.0,8.5,8.7,7.7,6.7
Lettonie,11.6,10.8,11.3,10.2,8.5,7.1,8.7,8.9,7.8,7.9
Lituanie,13.5,11.7,10.4,9.4,8.0,8.3,11.4,9.3,7.6,9.0
Luxembourg,6.3,6.3,6.7,5.3,5.6,6.2,6.9,5.5,4.0,5.4
Hongrie,7.2,6.3,4.6,3.7,3.3,2.9,4.0,3.9,3.3,3.8
Malte,3.9,3.8,3.9,3.5,3.8,4.3,4.7,4.5,3.4,2.8
Pays-Bas,8.1,7.6,6.7,5.5,4.5,4.0,4.5,4.0,3.3,3.2
Autriche,5.3,5.8,6.1,5.4,4.5,4.2,5.5,5.8,4.2,4.7
Pologne,10.4,8.6,7.1,5.7,4.5,3.6,3.5,4.0,3.5,3.7
Portugal,15.4,14.0,12.3,9.9,8.3,7.3,8.4,8.1,7.0,7.5
Roumanie,8.3,8.3,7.1,6.0,5.1,4.7,5.8,5.1,5.2,4.9
Slovénie,10.6,10.1,8.2,6.8,5.6,4.7,5.6,5.4,4.5,3.8
Slovaquie,12.1,10.6,8.8,7.2,5.5,4.6,6.0,6.4,5.6,5.5
Finlande,9.5,10.5,9.5,9.4,7.9,6.9,8.3,8.0,7.1,7.7
Suède,7.1,6.3,5.7,5.2,4.7,5.0,6.4,6.8,5.8,6.0
Islande,4.3,3.4,3.1,2.4,2.3,3.3,5.5,5.9,3.2,3.1
Norvège,2.6,3.4,3.4,3.1,2.9,2.9,3.7,3.5,2.5,2.5
Suisse,4.7,4.5,4.9,4.7,4.7,4.4,5.0,5.2,4.0,3.7
Monténégro,19.8,19.3,19.5,17.5,16.7,15.4,18.1,:,:
Macédoine du Nord,28.3,26.6,23.7,22.6,21.0,16.6,16.2,:,:
Serbie,22.0,20.3,17.4,15.5,14.4,11.8,10.1,11.6,10.3,10.0
Turquie,11.3,11.3,12.5,12.5,12.1,15.6,15.0,13.5,12.1,11.3
