TIME,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Union européenne - 27 pays (à partir de 2020),3119645.53,3195429.79,3256455.55,3340176.41,3420615.62,3509988.85,3610382.95,3759919.42,4069590.69,4196837.82
Union européenne - 28 pays (2013-2020),3716745.91,3776053.57,3879430.04,4056291.04,4045174.95,4126251.14,4228079.93,:,::
Union européenne - 27 pays (2007-2013),3707449.55,3766894.78,3870129.18,4046730.25,4035153.19,4115825.00,4217062.23,:,::
Union européenne - 15 pays (1995-2004),3518021.40,3573168.78,3673522.75,3841742.32,3820063.17,3887410.80,3974064.17,:,::
Zone euro - 20 pays (à partir de 2023),2763006.33,2825346.63,2885017.44,2958355.03,3025165.69,3099701.13,3191664.01,3316772.96,3589173.63,3686789.72
Zone euro - 19 pays (2015-2022),2753709.97,2816187.84,2875716.58,2948794.24,3015143.93,3089275.00,3180646.31,3305183.11,3577202.97,3674027.87
Zone euro - 18 pays (2014),2748550.29,2811123.23,2870429.83,2943269.28,3009474.71,3083182.45,3173612.16,3297307.38,3567704.41,3663844.06
Zone euro - 12 pays (2001-2006),2716036.90,2777866.22,2836631.95,2908228.73,2973140.31,3045535.98,3133764.43,3254821.75,3519455.25,3612050.91
Belgique,109573.14,113134.35,115902.74,119057.73,119252.88,121267.76,125704.62,130662.54,143880.04,145292.86
Bulgarie,6749.32,7128.87,7668.14,7850.95,8227.87,8612.53,9205.23,9847.03,11209.95,12995.09
Tchéquie,32081.55,30866.38,29899.41,31004.02,32282.69,34538.99,37784.92,41170.90,46075.56,50575.46
Danemark,82545.91,85437.27,87648.91,88192.35,87958.80,90497.27,91903.51,93911.73,100097.59,102671.66
Allemagne,758220.31,785771.28,813955.05,850632.70,889509.29,923349.79,956245.47,1001173.17,1072188.12,1107776.82
Estonie,2659.29,2775.17,2950.58,3287.22,3553.95,3743.56,4178.28,4522.63,5188.91,5320.09
Irlande,40830.70,39759.34,40042.80,40839.83,41611.05,43174.76,44535.59,46877.60,55375.34,57134.16
Grèce,52740.72,46764.97,45372.66,45740.51,45836.03,44891.20,45265.75,46125.44,48141.54,48599.79
Espagne,259844.89,259735.77,258681.51,261400.23,260942.57,267435.03,278954.16,295325.52,331073.75,337656.04
France,656183.89,674450.69,689586.47,701659.73,714462.49,727242.47,741411.27,760858.96,813674.57,834806.07
Croatie,9296.36,9158.79,9300.86,9560.79,10021.76,10426.13,11017.70,11589.85,11970.66,12761.85
Italie,449945.00,456590.00,464282.00,473658.00,476045.00,483245.00,493735.00,507808.00,551780.00,560355.00
Chypre,3850.12,3761.53,3438.04,3483.99,3588.87,3635.66,3725.42,4207.53,5297.31,5443.67
Lettonie,3105.50,3271.80,3364.92,3581.69,3733.07,3916.10,4368.86,4708.27,5182.69,6361.12
Lituanie,5159.68,5064.60,5286.74,5524.96,5669.21,6092.55,7034.15,7875.73,9498.56,10183.81
Luxembourg,9718.07,10313.43,10765.06,11016.93,11236.47,12007.45,12646.95,13342.19,15406.89,15591.27
Hongrie,20966.39,20909.58,20656.13,21074.23,21515.81,22748.48,23565.37,23939.54,24749.24,26814.49
Malte,1365.45,1440.32,1543.57,1621.72,1712.17,1813.75,1902.23,2052.56,2602.70,2724.01
Pays-Bas,188173.00,192142.00,193596.00,193895.00,198479.00,203407.00,209726.00,219000.00,233638.00,242665.00
Autriche,90179.50,93155.37,96428.15,99864.66,103373.15,105427.83,109112.99,113268.78,126665.37,130312.68
Pologne,71667.95,75503.34,77586.14,81644.74,86551.53,91579.13,95430.42,110953.44,122365.28,129662.93
Portugal,42007.22,44377.20,44103.57,44433.52,44712.00,46173.37,47407.89,49466.15,52946.59,55317.86
Roumanie,20289.88,20996.21,21711.98,22848.47,24508.50,27196.06,30130.25,33476.34,37392.52,39419.34
Slovénie,8799.81,8808.11,8829.55,9072.11,9246.97,9572.06,10017.97,10627.29,12134.97,12950.40
Slovaquie,12733.22,13200.09,13671.22,13993.82,14499.37,14965.34,15654.97,16367.35,17842.58,18993.86
Finlande,58620.46,61671.83,63915.93,66029.89,67680.38,67914.32,69018.73,70913.41,74685.04
